AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
311,23491,Vedhika Yadav,59,M,A2
312,30398,Yash Gera,24,M,A1
313,30398,Tamanna Nigam,18,F,A2
314,7118,Maya Sekhon,36,M,A1
315,17756,Samesh Nayak,25,M,A1
316,21945,Hemal Sehgal,48,F,A1
317,25441,Yash Bora,57,F,A1
318,23860,Madhav Dewan,36,F,A1
319,29745,Yutika Varty,49,M,A1
320,32578,Bishakha Dyal,24,F,A1
321,36414,Yauvani Bains,50,F,A1
322,36414,Widisha Brar,55,M,A2
323,5247,Krish Sodhi,32,M,A1
324,19898,Yachana Goyal,19,M,A1
325,27948,Rehaan Rajagopalan,17,M,A1
326,26320,Warhi Nigam,21,M,A1
327,34237,Praneel Tak,50,M,A1
328,34237,Nisha Sen,43,M,A2
329,35623,Tanvi Deep,40,M,A1
330,39787,Sara Suresh,45,F,A1
331,2170,Pallavi Bansal,21,F,A1
332,35739,Wazir Choudhry,20,F,A1
333,14237,Nirja Prashad,34,F,A1
334,14237,Nimrat Srinivas,25,F,A2
335,3873,Ubika Bath,49,M,A1
336,31165,Yachana Radhakrishnan,46,F,A1
337,31165,Dipta Devan,54,F,A2
338,28322,Ojas Balakrishnan,47,F,A1
339,28322,Garima Yohannan,48,F,A2
340,35946,Gayathri Jani,55,M,A1
341,38782,Ojasvi Kalita,44,M,A1
342,8421,Ucchal Karnik,43,F,A1
343,8421,Rishi Kohli,17,M,A2
344,12010,Vidhi Rege,24,F,A1
345,26280,Anirudh Ramesh,48,F,A1
346,21196,Indira Sahota,53,F,A1
347,803,Yuvraj Chatterjee,30,M,A1
348,7332,Jackson Atwal,23,F,A1
349,7332,Benjamin Rajagopalan,59,M,A2
350,29437,Chakradev Thaman,34,M,A1
351,6232,Gagan Sunder,39,M,A1
352,32518,Maanav Parmer,19,F,A1
353,32518,William Wali,26,M,A2
354,31679,Chaman Agate,49,F,A1
355,7997,Aachal Bakshi,48,F,A1
356,20516,Vivaan Sarkar,53,F,A1
357,37260,Advika Bava,30,F,A1
358,37260,Amara Ramachandran,29,M,A2
359,38738,Kritika Virk,56,F,A1
360,31778,Samaksh Tripathi,25,M,A1
361,31778,Waida Menon,40,F,A2
362,3878,Ubika Bath,49,M,A1
363,7706,Bhavani Naik,42,F,A1
364,24793,Niharika Mohanty,35,F,A1
365,33309,Nakul Banik,46,F,A1
366,35085,Mitali Basu,51,F,A1
367,35085,Luke Rout,21,M,A2
368,8315,Caleb Bandi,55,M,A1
369,8315,Qabil Swaminathan,38,F,A2
370,4877,Omkaar Garg,47,F,A1
371,25367,Chasmum Brar,35,F,A1
372,1923,Suhani Raju,19,M,A1
373,14200,Fiyaz Parsa,21,F,A1
374,38021,Yashvi Sehgal,53,F,A1
375,34698,Baljiwan Chander,48,F,A1
376,34698,Thomas Narayanan,47,M,A2
377,30982,Onkar Sarin,40,M,A1
378,1979,Aarini Yogi,26,F,A1
379,32740,Ayushman Palan,45,F,A1
380,9064,Lavanya Bora,39,F,A1
381,9064,Matthew Bali,52,F,A2
382,24082,Daksh Mitter,54,M,A1
383,18785,Shivani Trivedi,18,M,A1
384,18785,Aashi Sibal,50,F,A2
385,11017,Krishna Sura,31,M,A1
386,34722,Joshua Om,21,F,A1
387,34722,Damini Johal,44,M,A2
388,14948,Qabil Gola,55,M,A1
389,13569,Avi Roy,33,M,A1
390,13569,Unni Natt,37,F,A2
391,28639,Kala Yadav,18,M,A1
392,28639,Widisha Kapur,44,F,A2
393,23133,Michael Madan,37,M,A1
394,8276,Unnati Bobal,26,F,A1
395,31696,Bishakha Sheth,43,M,A1
396,14410,Yashoda Dutt,35,F,A1
397,25352,Robert Pandit,22,F,A1
398,14455,Kevin Grover,26,F,A1
399,14455,Manthan Randhawa,52,M,A2
400,34332,Daksha Murthy,16,F,A1
401,13281,Omkaar Palan,42,M,A1
402,29077,Sanya Mammen,18,M,A1
403,39273,Veer Nadkarni,38,F,A1
404,39273,Deepa Sidhu,48,M,A2
405,23733,Rajata Ganesan,28,F,A1
406,23733,Bachittar Jha,57,F,A2
407,6453,Mahika Banik,59,M,A1
408,6453,Anay Puri,45,M,A2
409,14967,Saksham Nagy,29,F,A1
410,14967,Neelima Oza,46,M,A2
411,2394,Charan Parekh,42,M,A1
412,2300,Udyati Chana,22,M,A1
413,33514,Advaith Thakkar,25,F,A1
414,33514,Lajita Loke,33,M,A2
415,6800,Lakshit Dhar,60,F,A1
416,395,Ekanta Nagy,31,M,A1
417,37217,Harish Sachdev,47,M,A1
418,37217,Naveen Mitter,20,F,A2
419,25249,Vedant Mistry,33,F,A1
420,25249,Urvashi Ravi,48,F,A2
421,20391,Nitara Dixit,41,M,A1
422,20391,Warhi Dada,57,M,A2
423,30308,Christopher Bhattacharyya,33,M,A1
424,30308,Libni Minhas,32,F,A2
425,17824,Damyanti Mohanty,32,F,A1
426,17824,Brinda Patil,52,M,A2
427,9580,Dhriti Padmanabhan,33,F,A1
428,9580,Vrinda Rama,54,F,A2
429,20482,Mason Sarma,27,F,A1
430,37547,Mitali Mukhopadhyay,41,F,A1
431,37547,Zashil Ravi,53,F,A2
432,25501,Netra Barman,51,M,A1
433,20845,Meghana Ahluwalia,29,F,A1
434,20845,Vinaya Arora,34,F,A2
435,11552,Upma Soman,34,M,A1
436,19455,Sanya Sundaram,20,M,A1
437,23546,Nitara Wadhwa,57,F,A1
438,23546,Saumya Loke,42,M,A2
439,24993,Frado Choudhry,42,M,A1
440,24993,Raagini Keer,40,M,A2
441,7030,Barkha Desai,31,M,A1
442,26594,Janya Pandey,60,M,A1
443,19648,Qushi Tailor,50,F,A1
444,19648,Xalak Dubey,29,M,A2
445,10315,Brijesh Wason,48,M,A1
446,20791,Lila Mitter,33,M,A1
447,14465,Om Loke,52,F,A1
448,15358,Kritika Wable,42,F,A1
449,15358,Ojas Bajwa,60,F,A2
450,39881,Mitesh Andra,55,F,A1
451,13779,Jagat Mistry,22,M,A1
452,35537,Aayush Ganesh,60,M,A1
453,1587,Ucchal Palla,47,F,A1
454,8156,Ladli Bhattacharyya,23,M,A1
455,27905,Hemang Solanki,55,M,A1
456,27905,Krish Morar,51,M,A2
457,20329,Manbir Thaman,53,F,A1
458,13110,Upma Lal,34,F,A1
459,14043,Yachana Mukherjee,25,M,A1
460,1662,Charita Memon,26,M,A1
461,7051,Hredhaan Sengupta,57,F,A1
462,31070,Harrison Vaidya,55,M,A1
463,27419,Oni Sane,18,F,A1
464,27419,Hritik Iyer,48,F,A2
465,19368,Bina Sampath,34,F,A1
466,19368,Robert Lad,28,M,A2
467,1924,Suhani Raju,19,M,A1
468,39411,Jagvi Atwal,21,F,A1
469,27426,Gauri Buch,25,F,A1
470,27426,Abdul Anand,23,M,A2
471,28563,Vinaya Hari,40,M,A1
472,28563,Upasna Narayanan,55,M,A2
473,27043,Harsh Nazareth,54,M,A1
474,918,Ekaja Shenoy,23,M,A1
475,16169,Tanay Nagi,51,F,A1
476,11428,Fiyaz Dayal,58,F,A1
477,12533,Ubika Karpe,26,M,A1
478,12533,Alka Luthra,29,M,A2
479,15132,Frado Koshy,36,M,A1
480,27362,Omkaar Kadakia,22,F,A1
481,914,Ekaja Shenoy,23,M,A1
482,8963,Abdul Borra,23,F,A1
483,8963,Nikita Varkey,23,F,A2
484,31275,Neha Sawhney,27,F,A1
485,31275,Ekanta Karnik,41,F,A2
486,13162,Gaurang Toor,57,F,A1
487,3683,Meera Bassi,23,F,A1
488,26566,Chameli Chaudhuri,47,M,A1
489,39338,Onveer Kadakia,47,F,A1
490,18289,Vansha Yogi,19,F,A1
491,15452,Bhavya Tara,37,F,A1
492,15452,Ijaya Sharma,50,F,A2
493,17453,Darika Mane,32,F,A1
494,17453,Kamya Bali,28,M,A2
495,15998,Zarna Srivastava,18,F,A1
496,36650,Qasim Mukhopadhyay,34,F,A1
497,36650,Triveni Patel,54,F,A2
498,898,Sarthak Sundaram,51,F,A1
499,27968,Oni Dar,45,M,A1
500,27968,Tanmayi Dube,41,F,A2
501,32539,Lipika Mital,29,F,A1
502,32539,Eesha Behl,37,M,A2
503,31548,Lajita Basak,37,M,A1
504,31548,Sathvik Peri,51,F,A2
505,2795,Urishilla Raju,52,M,A1
506,23612,Orinder Khatri,22,F,A1
507,23612,Neha Ahuja,42,F,A2
508,26514,Panini Varghese,30,F,A1
509,32213,Tamanna Anand,36,F,A1
510,1269,Viraj Nadig,25,M,A1
511,24023,Siddharth Sathe,22,F,A1
512,29294,Yahvi Acharya,45,M,A1
513,10968,Hiral Memon,44,F,A1
514,10968,Bhavini Taneja,48,M,A2
515,10565,Utkarsh Dani,21,M,A1
516,10565,Devika Hari,34,F,A2
517,37654,Veer Jain,32,F,A1
518,37654,Saumya Mittal,49,M,A2
519,34785,Veer Kara,41,F,A1
520,34785,Siya Ben,43,F,A2
521,35126,Vedhika Bajwa,59,F,A1
522,24001,Ubika Datta,29,F,A1
523,26717,Garima Vala,17,M,A1
524,26717,Niharika Puri,34,F,A2
525,30517,Anmol Balan,30,F,A1
526,30517,Rehaan Sachar,38,M,A2
527,17313,Urvi Dua,47,M,A1
528,303,Neel Soni,29,M,A1
529,17256,Ayush Datta,24,F,A1
530,17256,Vasatika Baral,25,M,A2
531,14040,Banjeet Sastry,32,M,A1
532,28751,Harish Bandi,35,F,A1
533,31775,Triya Hegde,48,M,A1
534,31775,Nachiket Date,22,F,A2
535,33352,Rachita Shere,37,F,A1
536,13508,Ekiya Borah,57,M,A1
537,13508,Azad Narasimhan,22,M,A2
538,29545,Ekansh Choudhary,40,M,A1
539,13315,Aditya Gopal,33,M,A1
540,13315,Zinal Gola,39,M,A2
541,31250,Vidhi Lata,57,M,A1
542,28390,Jai Shere,43,M,A1
543,34080,Raagini Bhandari,33,F,A1
544,34080,Kevin Hans,44,F,A2
545,8867,Chatura Bali,56,M,A1
546,8867,Yashodhara Tara,19,F,A2
547,28494,Anirudh Nagi,57,F,A1
548,28494,Megha Vaidya,59,M,A2
549,35186,Sai Chaudry,49,M,A1
550,35186,Ayush Samra,18,F,A2
551,3942,Bishakha Kalla,49,M,A1
552,8494,Ijaya Saha,31,M,A1
553,8494,Fiyaz Chanda,53,M,A2
554,39785,Alka Buch,16,M,A1
555,29232,Sai Nanda,60,M,A1
556,37601,Jason Nagi,45,F,A1
557,37601,Shivansh Naidu,29,M,A2
558,161,Devansh Kapadia,32,M,A1
559,161,Ria Bhatt,43,M,A2
560,26683,Nihal Varughese,32,F,A1
561,26683,Mahika Wason,56,M,A2
562,25982,Charvi Yogi,41,M,A1
563,25982,Anirudh Ravel,20,M,A2
564,24254,Oviya Atwal,54,M,A1
565,26475,Kashish Warrior,43,F,A1
566,26475,Omya Lalla,59,F,A2
567,25879,Devika Dewan,42,M,A1
568,25879,Urvashi Tata,22,F,A2
569,39235,Unni Vaidya,59,M,A1
570,39235,Fariq Venkatesh,19,M,A2
571,25910,Vidhi Narayan,23,M,A1
572,4876,Omkaar Garg,47,F,A1
573,14615,Avni Sami,49,F,A1
574,6665,Nandini Dubey,59,M,A1
575,6665,Warjas Pal,49,M,A2
576,31713,Yadavi Bansal,57,F,A1
577,31713,Chameli Dhaliwal,34,F,A2
578,27444,Turvi Batra,30,M,A1
579,27444,Indira Gokhale,32,F,A2
580,804,Yuvraj Chatterjee,30,M,A1
581,11261,Nihal Prasad,32,M,A1
582,11261,Jai Tripathi,42,M,A2
583,10889,Xalak Randhawa,57,F,A1
584,10889,Vihaan Mangat,57,M,A2
585,26227,Bhavini Wali,24,M,A1
586,39048,Nitesh Kata,58,F,A1
587,39048,Vyanjana Palla,43,M,A2
588,1270,Viraj Nadig,25,M,A1
589,2743,Advay Kala,50,F,A1
590,9809,Dalaja Datta,19,F,A1
591,9809,Samaksh Ramachandran,34,M,A2
592,11750,Gaurangi Johal,39,M,A1
593,18417,Udyati Anand,25,M,A1
594,18417,Jairaj Bhattacharyya,57,F,A2
595,32508,Quincy Ahluwalia,46,M,A1
596,32508,Isha Dutt,31,M,A2
597,36010,Lavanya Kari,55,M,A1
598,897,Sarthak Sundaram,51,F,A1
599,28729,Jagat Date,30,F,A1
600,30710,Ekaraj Divan,25,F,A1
601,13833,Ekalinga Bhattacharyya,48,M,A1
602,35624,Ethan Nayak,37,M,A1
603,29584,Veer Bhat,48,F,A1
604,37843,Zansi Dara,21,F,A1
605,11951,Yauvani Buch,50,M,A1
606,14534,Faris Lal,22,M,A1
607,14083,Lucky Tandon,46,F,A1
608,8023,Jack Kant,20,M,A1
609,8023,Mitali Gala,17,F,A2
610,27130,Chakradev Bhalla,52,F,A1
611,16086,Praneel Tandon,34,F,A1
612,19262,Gaurika Parekh,34,M,A1
613,5540,Lohit Kapoor,48,M,A1
614,10705,Chavvi Sachdev,53,M,A1
615,22612,Aarush Hora,32,F,A1
616,22612,Farhan Varkey,50,M,A2
617,21038,Dayita Gopal,33,F,A1
618,21038,Mugdha Gade,36,M,A2
619,22007,Edhitha Sandal,34,F,A1
620,22007,Jatin Mitra,46,F,A2
621,2666,Tanvi Brahmbhatt,46,M,A1
622,20077,Hemani Pillay,39,M,A1
623,563,Isha Vasa,22,F,A1
624,19193,Ishwar Varty,48,M,A1
625,19193,Wazir Badal,38,M,A2
626,27772,Lucky Sant,32,F,A1
627,27772,Bhavani Nagar,29,F,A2
628,34035,Siya Chowdhury,53,F,A1
629,34035,Banjeet Atwal,23,F,A2
630,19692,Vamakshi Aurora,45,M,A1
631,24548,Manan Morar,35,M,A1
632,4878,Omkaar Garg,47,F,A1
633,26910,Chaman Mutti,41,F,A1
634,26910,Karan Nair,36,F,A2
635,3868,Ubika Bath,49,M,A1
636,23299,Zayan Varty,52,F,A1
637,23299,Eiravati Thaker,39,M,A2
638,14094,Indrajit Mitra,24,M,A1
639,10688,Chaitaly Buch,18,F,A1
640,20811,Zayan Sharaf,16,F,A1
641,13545,Frederick Bala,18,M,A1
642,13545,Pranit Sankar,57,F,A2
643,10680,Diya Dutt,39,M,A1
644,10680,Girish Bose,45,M,A2
645,7441,Jagrati Parekh,50,F,A1
646,7441,Vinaya Chowdhury,49,F,A2
647,26646,Ganga Sem,24,M,A1
648,26646,Tara Sur,24,M,A2
649,35812,Thomas Lala,39,F,A1
650,35812,Ladli Mitter,48,F,A2
651,39945,Aayush Sane,51,M,A1
652,34441,Vaishnavi Lad,24,M,A1
653,34441,Harrison Majumdar,25,F,A2
654,30082,Om Ganesan,41,M,A1
655,30082,Parth Murty,43,M,A2
656,22717,Onveer Sha,19,F,A1
657,22717,Warda Nagy,53,M,A2
658,9271,Qasim Kohli,52,F,A1
659,9271,Samaksh Sahni,50,F,A2
660,27711,Veer Suri,48,M,A1
