EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,
77,5,1037,4,4,KGID100077,Charles,21-01-1991,M,A+,0,
78,3,355,6,2,KGID100078,Upkaar,29-06-1989,M,O+,0,
79,26,874,5,2,KGID100079,Aishani,14-09-1993,F,B+,0,
80,30,320,3,3,KGID100080,Matthew,03-03-1984,M,O+,0,
81,13,493,6,2,KGID100081,Aarush,08-03-2001,M,O+,0,
82,5,1076,5,4,KGID100082,Bishakha,09-04-1969,M,B+,0,
83,5,1163,2,2,KGID100083,Eshana,08-10-1977,F,A+,0,
84,14,461,6,3,KGID100084,Jalsa,07-11-1997,F,B+,0,
85,16,551,2,1,KGID100085,Nimrat,09-02-1969,F,A+,0,
86,5,1157,4,2,KGID100086,Xalak,26-01-1982,M,AB+,0,
87,12,636,3,2,KGID100087,Damyanti,15-04-1976,M,A+,0,
88,8,953,2,4,KGID100088,Unni,16-07-1968,F,O+,0,
89,5,1163,1,3,KGID100089,Sathvik,25-03-1979,F,O-,0,
90,27,687,6,3,KGID100090,Krisha,05-04-1978,M,A+,0,
91,5,1176,3,2,KGID100091,Balveer,05-09-1993,F,A+,0,
92,3,389,5,4,KGID100092,Samaksh,15-06-1999,F,O+,0,
93,18,724,5,1,KGID100093,Sai,13-06-1990,F,O-,0,
94,14,472,3,1,KGID100094,Riya,24-09-1976,F,A+,0,
95,22,810,7,2,KGID100095,Anusha,25-06-2001,F,AB+,0,
96,31,349,6,3,KGID100096,Raksha,10-10-1975,F,A+,0,
97,5,1015,3,3,KGID100097,Ijaya,09-12-1984,F,O+,0,
98,11,690,6,3,KGID100098,Karan,21-06-1990,M,B+,0,
99,11,708,6,4,KGID100099,Onkar,21-08-1989,M,O-,0,
100,21,860,3,4,KGID100100,Rachit,05-10-1985,M,O+,0,
101,29,571,2,4,KGID100101,Jacob,04-08-1992,F,AB+,0,
102,18,730,4,2,KGID100102,Ishanvi,17-10-1977,F,B+,0,
103,8,952,1,3,KGID100103,Triya,06-12-2000,F,A+,0,
104,5,1116,7,2,KGID100104,Hemangini,12-09-1988,F,B+,0,
105,5,1103,2,2,KGID100105,Tamanna,19-09-1970,M,A+,0,
106,28,528,4,1,KGID100106,Yashvi,18-05-1986,F,AB+,0,
107,5,1185,6,2,KGID100107,Wahab,04-02-1968,F,AB+,0,
108,27,687,2,2,KGID100108,Dhriti,10-07-1984,M,A+,0,
109,5,1075,4,2,KGID100109,Faras,24-02-1979,M,O-,0,
110,15,753,1,2,KGID100110,Gaurangi,10-04-1986,M,AB+,0,
111,1,414,7,4,KGID100111,Indali,23-04-1968,F,AB+,0,
112,26,905,7,4,KGID100112,Vasatika,16-12-1999,F,B+,0,
113,5,1039,7,4,KGID100113,Liam,15-10-1968,F,O+,0,
114,5,1047,2,3,KGID100114,Thomas,02-12-1995,F,B+,0,
115,16,559,4,1,KGID100115,Faraj,26-01-1999,F,B+,0,
116,16,556,3,3,KGID100116,Jatin,29-08-1970,M,B+,0,
117,23,432,2,4,KGID100117,Girindra,08-01-1995,M,B+,0,
118,31,343,4,4,KGID100118,Alka,30-08-1982,F,O-,0,
119,15,755,4,1,KGID100119,Zayyan,21-02-1979,M,AB+,0,
120,27,676,7,1,KGID100120,Jyoti,09-06-1997,F,AB+,0,
121,6,284,3,3,KGID100121,Harrison,22-08-1967,F,AB+,0,
122,7,829,6,2,KGID100122,Jason,12-04-1968,F,B+,0,
123,16,557,4,4,KGID100123,Bachittar,30-05-1992,M,AB+,0,
124,10,622,6,4,KGID100124,Triya,17-07-1970,M,AB+,0,
125,17,1219,2,1,KGID100125,Udyati,25-02-1985,F,O-,0,
126,21,855,6,1,KGID100126,Amrita,25-01-1991,M,AB+,0,
127,23,416,7,4,KGID100127,Manya,09-09-1989,M,A+,0,
128,16,544,4,3,KGID100128,Tanvi,20-11-1978,M,AB+,0,
129,10,612,3,4,KGID100129,Libni,11-06-1978,F,AB+,0,
130,28,536,7,1,KGID100130,Wishi,02-01-1982,F,A+,0,
131,5,1045,5,1,KGID100131,Simon,16-03-1976,F,B+,0,
132,8,943,1,1,KGID100132,Arjun,27-08-1989,M,B+,0,
133,13,482,7,1,KGID100133,Lavanya,25-06-1970,M,B+,0,
134,1,407,4,1,KGID100134,Chaitanya,19-06-1992,M,AB+,0,
135,4,994,3,3,KGID100135,Urvi,17-12-1971,M,O-,0,
136,26,899,6,1,KGID100136,Gaurika,18-04-1980,M,O+,0,
137,3,388,5,1,KGID100137,Orinder,01-10-1981,F,O-,0,
138,19,971,4,4,KGID100138,Nathaniel,19-05-1995,M,A+,0,
139,26,884,6,2,KGID100139,Alexander,26-12-1987,M,O+,0,
140,5,1148,6,1,KGID100140,Chanakya,09-01-1992,M,O+,0,
141,7,823,4,3,KGID100141,Sathvik,21-01-1984,M,O-,0,
142,8,941,3,1,KGID100142,Fitan,08-02-1977,F,AB+,0,
143,3,386,4,3,KGID100143,Ekavir,24-11-1971,F,B+,0,
144,18,723,2,3,KGID100144,Pratyush,25-09-1986,F,AB+,0,
145,18,724,7,3,KGID100145,Ansh,04-08-1986,F,B+,0,
146,5,1128,1,3,KGID100146,Nachiket,10-08-1969,F,B+,0,
147,5,1046,4,4,KGID100147,Ishita,02-10-1972,F,A+,0,
148,22,784,7,3,KGID100148,Viraj,12-05-1974,M,AB+,0,
149,13,495,3,3,KGID100149,Chanchal,04-10-1999,F,O+,0,
150,5,1179,5,3,KGID100150,Devika,19-04-1994,M,O-,0,
151,9,1248,2,1,KGID100151,Rajata,27-10-1977,M,AB+,0,
152,22,778,5,2,KGID100152,Yashica,16-01-1983,F,AB+,0,
153,18,736,7,1,KGID100153,Eta,26-12-1973,M,O+,0,
154,13,504,4,2,KGID100154,Bhavya,12-01-1976,F,O-,0,
155,25,655,4,3,KGID100155,Lavanya,18-07-1980,F,O-,0,
156,10,616,3,4,KGID100156,Ranveer,15-10-1989,F,O+,0,
157,28,535,2,1,KGID100157,Chameli,09-10-1968,M,O+,0,
158,3,400,6,2,KGID100158,Luke,27-04-1969,M,B+,0,
159,5,1034,4,3,KGID100159,Yashica,21-11-1972,F,A+,0,
160,5,1130,2,3,KGID100160,Qasim,08-01-1968,M,O+,0,
161,14,461,3,1,KGID100161,Edhitha,03-10-1982,M,O+,0,
162,30,324,1,3,KGID100162,Fitan,09-05-1981,M,AB+,0,
163,3,383,7,1,KGID100163,Anusha,07-05-1980,F,AB+,0,
164,22,768,4,3,KGID100164,Ranveer,28-08-1978,M,A+,0,
165,28,536,7,4,KGID100165,Nachiket,04-02-1972,M,A+,0,
166,27,688,4,1,KGID100166,Patrick,06-08-1967,M,B+,0,
167,23,430,7,3,KGID100167,Urvashi,21-11-1985,M,B+,0,
168,3,399,5,4,KGID100168,Niharika,30-08-1984,M,O-,0,
169,27,667,4,4,KGID100169,Bachittar,14-04-1998,F,O-,0,
170,11,717,3,1,KGID100170,Fitan,13-11-1980,M,B+,0,
171,24,918,2,3,KGID100171,Christopher,28-11-1996,M,B+,0,
172,28,523,2,1,KGID100172,Radha,22-03-1993,M,A+,0,
173,11,696,4,4,KGID100173,Girik,26-02-1985,F,A+,0,
174,28,515,3,3,KGID100174,Benjamin,09-06-1999,F,A+,0,
175,19,981,2,3,KGID100175,Jagvi,05-09-1972,M,AB+,0,
176,3,395,5,2,KGID100176,Jalsa,07-12-1969,M,O+,0,
177,5,1124,2,1,KGID100177,Ojasvi,04-05-2001,M,B+,0,
178,5,1089,3,3,KGID100178,Finn,10-02-1983,F,A+,0,
179,15,757,6,3,KGID100179,Mohammed,21-05-2001,F,O+,0,
180,22,790,5,4,KGID100180,Aayush,18-12-1967,F,A+,0,
181,26,890,1,4,KGID100181,Ojas,20-12-1987,F,O-,0,
182,28,534,1,1,KGID100182,Xavier,14-05-1992,M,O-,0,
183,26,879,1,3,KGID100183,Yash,04-09-1976,M,B+,0,
184,15,759,5,4,KGID100184,Pavani,27-09-1976,F,B+,0,
185,26,877,4,4,KGID100185,Upkaar,03-10-1993,M,AB+,0,
186,12,634,4,3,KGID100186,Bhavini,17-06-1981,F,A+,0,
187,5,1156,2,3,KGID100187,Tanveer,30-11-1974,F,AB+,0,
188,29,573,6,4,KGID100188,Lekha,31-07-1982,M,AB+,0,
189,3,368,3,3,KGID100189,Ethan,23-04-2001,F,A+,0,
190,5,1069,4,1,KGID100190,Harinakshi,24-02-1983,F,AB+,0,
191,30,333,2,3,KGID100191,Samuel,05-07-1984,F,AB+,0,
192,5,1056,1,2,KGID100192,Naveen,26-11-1970,F,O-,0,
193,1,412,3,4,KGID100193,Priya,14-10-1972,F,A+,0,
194,6,307,6,2,KGID100194,Januja,21-11-1979,M,O+,0,
195,21,842,1,4,KGID100195,Diya,31-12-1999,M,B+,0,
196,5,1139,1,4,KGID100196,Praneel,10-08-1972,M,B+,0,
197,22,788,6,3,KGID100197,Gabriel,28-12-1971,F,AB+,0,
198,5,1132,4,4,KGID100198,Divya,07-02-1999,M,AB+,0,
199,21,842,2,4,KGID100199,Shivani,12-05-1996,M,O-,0,
200,22,798,6,2,KGID100200,Vyanjana,15-01-1973,M,O+,0,
201,5,1069,7,4,KGID100201,Luke,26-04-1968,F,O-,0,
202,16,551,7,1,KGID100202,Bachittar,30-03-1992,F,O+,0,
203,5,1135,5,4,KGID100203,Yuvraj,30-11-1981,M,AB+,0,
204,7,829,4,3,KGID100204,Lohit,07-02-1981,F,O-,0,
205,5,1059,5,4,KGID100205,Agastya,13-06-1983,F,O+,0,
206,5,1168,2,2,KGID100206,Balendra,31-10-1969,F,B+,0,
207,5,1154,7,4,KGID100207,Ishita,31-03-1992,M,O+,0,
208,5,1040,4,4,KGID100208,Rachana,06-03-1978,F,B+,0,
209,22,785,1,2,KGID100209,Vrinda,04-04-1996,F,A+,0,
210,5,1173,7,4,KGID100210,Faris,18-10-1972,M,O-,0,
211,17,1210,4,1,KGID100211,Aarav,21-12-1991,M,AB+,0,
212,5,1169,6,2,KGID100212,Anita,21-02-1973,M,AB+,0,
213,5,1078,3,3,KGID100213,Raghav,24-06-1975,F,A+,0,
214,5,1150,3,4,KGID100214,Abhiram,09-09-1999,F,AB+,0,
215,5,1171,5,1,KGID100215,Lopa,17-01-1985,M,B+,0,
216,24,924,6,3,KGID100216,Alka,15-12-1976,M,A+,0,
217,18,722,1,1,KGID100217,Hredhaan,01-09-1978,F,B+,0,
218,4,988,3,1,KGID100218,Charles,18-05-1979,M,O+,0,
219,5,1093,1,3,KGID100219,Neel,30-10-1968,F,O+,0,
220,18,719,2,2,KGID100220,Charita,31-03-1970,F,O-,0,
221,19,976,7,2,KGID100221,Vedhika,18-08-1971,M,B+,0,
222,3,358,5,4,KGID100222,Nimrat,30-10-1991,M,AB+,0,
223,17,1212,5,2,KGID100223,Ekani,05-12-1989,M,AB+,0,
224,24,931,3,4,KGID100224,Bakhshi,07-04-1999,F,A+,0,
225,17,1198,7,4,KGID100225,Jagrati,05-09-1976,F,O-,0,
226,23,439,1,4,KGID100226,Omkaar,16-05-1998,F,O-,0,
227,2,584,6,4,KGID100227,Baljiwan,04-11-1968,F,AB+,0,
228,5,1143,3,2,KGID100228,Kashvi,21-02-1986,F,AB+,0,
229,3,387,2,4,KGID100229,Naveen,04-08-1980,F,O-,0,
230,29,580,6,3,KGID100230,Harish,15-09-1989,M,AB+,0,
231,16,559,1,1,KGID100231,Tanvi,22-01-2000,F,O+,0,
232,5,1072,7,2,KGID100232,Ira,26-08-1998,F,B+,0,
233,24,929,2,3,KGID100233,Max,21-03-1970,M,A+,0,
234,17,1203,6,1,KGID100234,Rehaan,13-04-1975,F,AB+,0,
235,30,312,5,3,KGID100235,Ekta,27-05-1972,M,A+,0,
236,17,1209,3,3,KGID100236,Qabil,19-03-1986,F,B+,0,
237,13,483,2,3,KGID100237,Jhalak,12-06-1983,F,B+,0,
238,16,541,7,4,KGID100238,Anamika,08-06-1984,F,O+,0,
239,5,1101,1,4,KGID100239,Banjeet,22-05-2000,M,B+,0,
240,5,1050,2,4,KGID100240,Nilima,22-12-1969,F,A+,0,
241,5,1087,4,1,KGID100241,Laksh,29-05-1998,F,O-,0,
242,1,404,4,3,KGID100242,Samarth,05-09-1980,F,O-,0,
243,27,668,7,3,KGID100243,Viraj,08-04-1971,M,B+,0,
244,15,760,1,3,KGID100244,Elijah,12-04-1979,M,A+,0,
245,24,928,7,4,KGID100245,Sarthak,22-03-1994,F,AB+,0,
246,3,397,2,1,KGID100246,Suhani,02-09-1986,M,O+,0,
247,22,782,1,1,KGID100247,Anvi,19-10-1992,M,O-,0,
248,23,416,4,4,KGID100248,Reva,25-12-1981,F,O-,0,
249,11,707,5,2,KGID100249,Samuel,02-01-1998,F,A+,0,
250,5,1131,4,4,KGID100250,Advay,06-02-2001,F,A+,0,
251,4,984,3,2,KGID100251,Mugdha,04-10-1991,F,AB+,0,
252,9,1251,2,3,KGID100252,Chatura,26-09-1971,M,O+,0,
253,7,835,6,3,KGID100253,Tara,15-04-1990,M,AB+,0,
254,29,560,2,1,KGID100254,Dominic,24-03-1990,F,A+,0,
255,8,956,2,1,KGID100255,Leela,16-06-1989,M,O+,0,
256,28,527,2,2,KGID100256,Tara,30-12-1987,M,O-,0,
257,13,490,5,2,KGID100257,Edhitha,27-11-1997,M,O+,0,
258,5,1070,2,1,KGID100258,Lohit,16-07-1983,F,B+,0,
259,1,411,5,3,KGID100259,Chanchal,05-06-1989,M,A+,0,
260,8,954,7,1,KGID100260,William,15-12-1976,M,A+,0,
261,12,644,7,2,KGID100261,Ishwar,13-09-1997,F,A+,0,
262,23,456,3,1,KGID100262,Krishna,25-05-1999,M,AB+,0,
263,22,816,1,1,KGID100263,Omisha,05-04-1991,F,AB+,0,
264,5,1074,3,1,KGID100264,Nilima,20-03-1996,F,O-,0,
265,13,504,5,1,KGID100265,Triya,12-02-1998,F,AB+,0,
266,24,936,1,1,KGID100266,Nicholas,14-07-1996,F,AB+,0,
267,11,714,6,1,KGID100267,Kai,20-12-1996,F,AB+,0,
268,31,353,1,3,KGID100268,Lakshit,13-12-1993,M,A+,0,
269,1,407,3,3,KGID100269,Tanish,21-01-1989,F,O-,0,
270,7,821,3,4,KGID100270,Dayamai,01-04-1972,F,A+,0,
271,5,1090,6,1,KGID100271,Girindra,28-10-1971,M,AB+,0,
272,15,740,2,4,KGID100272,Gayathri,03-07-1973,F,AB+,0,
273,27,686,4,1,KGID100273,Aarav,31-07-1976,F,AB+,0,
274,2,598,6,3,KGID100274,Kevin,15-03-1975,F,B+,0,
275,19,981,4,1,KGID100275,Advik,06-11-1974,M,A+,0,
276,3,373,4,1,KGID100276,Anthony,11-12-1988,F,B+,0,
277,21,847,1,3,KGID100277,Kabir,12-08-1982,M,AB+,0,
278,12,640,7,4,KGID100278,Nimrat,23-02-1991,M,O+,0,
279,26,892,3,3,KGID100279,Anjali,14-06-1970,M,O-,0,
280,22,797,2,2,KGID100280,Zinal,06-08-1975,F,B+,0,
281,5,1145,1,3,KGID100281,Vasana,08-05-1992,F,A+,0,
282,5,1058,3,2,KGID100282,Xalak,27-01-1999,F,O-,0,
283,5,1063,7,1,KGID100283,Triveni,15-08-1985,F,A+,0,
284,14,462,3,3,KGID100284,Zaid,14-07-1983,F,O+,0,
285,6,284,2,2,KGID100285,Azaan,09-05-1973,F,A+,0,
286,23,423,6,1,KGID100286,Neelima,19-12-1976,M,O-,0,
287,13,498,4,4,KGID100287,Owen,06-12-1984,F,O+,0,
288,23,439,3,3,KGID100288,Avi,07-06-1997,F,O-,0,
289,26,888,1,1,KGID100289,Jagat,21-08-1989,M,B+,0,
290,5,1050,5,1,KGID100290,Edhitha,05-08-1998,M,O+,0,
291,18,731,6,4,KGID100291,Udarsh,12-07-1992,F,O-,0,
292,18,730,4,3,KGID100292,Pranit,27-01-1989,M,O-,0,
293,3,394,3,4,KGID100293,Isaac,24-12-1979,M,O+,0,
294,19,972,6,4,KGID100294,Fiyaz,14-01-1979,F,A+,0,
295,13,503,4,1,KGID100295,Falak,19-01-1975,M,B+,0,
296,2,586,2,2,KGID100296,Bachittar,27-10-1978,F,O+,0,
297,10,613,1,1,KGID100297,Xiti,23-02-2000,F,AB+,0,
298,23,457,2,4,KGID100298,Edhitha,01-06-1988,M,O-,0,
299,21,850,7,3,KGID100299,Falan,06-08-1986,M,AB+,0,
300,5,1160,6,1,KGID100300,Radhika,28-02-1984,F,A+,0,
301,15,748,1,3,KGID100301,Udyati,02-12-1991,F,O-,0,
302,11,692,6,4,KGID100302,Gauri,26-12-1998,F,A+,0,
303,11,692,1,3,KGID100303,Jason,27-09-1975,M,O-,0,
304,15,749,7,3,KGID100304,Leena,25-09-1971,M,AB+,0,
305,5,1142,1,2,KGID100305,Bhanumati,21-10-1989,F,O-,0,
306,27,688,5,1,KGID100306,Manya,25-11-1974,F,O+,0,
307,5,1041,3,2,KGID100307,Guneet,02-06-1980,F,B+,0,
308,3,356,5,1,KGID100308,Hemani,02-11-1976,M,O+,0,
309,12,637,6,2,KGID100309,Mugdha,27-06-2000,M,A+,0,
310,23,427,3,2,KGID100310,Odika,01-06-1969,M,O-,0,
311,23,434,7,1,KGID100311,Hamsini,30-05-1981,M,AB+,0,
312,15,753,7,4,KGID100312,Pallavi,21-03-1973,F,O+,0,
313,23,432,4,1,KGID100313,Chatresh,10-12-1985,F,AB+,0,
314,24,924,3,3,KGID100314,Gavin,22-05-2001,M,O+,0,
315,22,797,1,3,KGID100315,Kavya,05-02-1984,F,AB+,0,
316,30,316,1,3,KGID100316,Jatin,30-04-1985,F,A+,0,
317,8,938,7,1,KGID100317,Qasim,30-08-1990,F,AB+,0,
318,21,872,5,1,KGID100318,Tripti,12-06-1984,F,O-,0,
319,8,945,2,3,KGID100319,Varsha,22-08-1998,F,O-,0,
320,23,432,1,4,KGID100320,Tanay,10-12-1990,M,O+,0,
321,5,1009,1,2,KGID100321,Arin,21-08-1984,M,B+,0,
322,4,1002,4,4,KGID100322,Chakradhar,13-12-1995,M,O+,0,
323,25,659,3,4,KGID100323,Balveer,06-03-1971,F,O+,0,
324,19,973,5,1,KGID100324,Arunima,01-09-1978,F,A+,0,
325,10,615,1,4,KGID100325,Zaid,18-05-1968,F,O+,0,
326,5,1019,7,2,KGID100326,Vihaan,13-08-1969,F,A+,0,
327,26,874,6,2,KGID100327,Bishakha,04-09-1980,F,O+,0,
328,8,949,6,4,KGID100328,Zinal,02-04-1979,M,O-,0,
329,4,1003,1,3,KGID100329,Ridhi,14-11-1983,F,O+,0,
330,5,1110,2,1,KGID100330,Upma,20-09-1993,F,O-,0,
331,12,648,1,3,KGID100331,Wishi,25-08-1967,F,B+,0,
332,9,1251,2,3,KGID100332,Meghana,10-01-1973,F,B+,0,
333,28,509,2,2,KGID100333,Shivansh,07-09-1998,M,O+,0,
334,5,1142,7,1,KGID100334,Kai,12-06-1970,M,O+,0,
335,5,1175,7,2,KGID100335,Zaitra,24-03-1985,F,B+,0,
336,23,444,2,2,KGID100336,Gunbir,23-05-1978,F,A+,0,
337,11,698,3,2,KGID100337,Vasana,15-10-1996,F,O-,0,
338,29,569,7,4,KGID100338,Ethan,25-02-1979,M,O-,0,
339,28,522,3,4,KGID100339,Anirudh,28-02-1977,M,O+,0,
340,19,972,5,4,KGID100340,Chatura,05-06-1993,F,O+,0,
341,5,1074,4,4,KGID100341,Triveni,03-11-1979,M,B+,0,
342,5,1098,5,2,KGID100342,Gabriel,29-11-1985,F,A+,0,
343,24,934,4,3,KGID100343,Manya,27-12-1978,M,O-,0,
344,5,1149,1,3,KGID100344,Azad,14-01-1982,M,B+,0,
345,16,557,4,2,KGID100345,Vritti,21-01-1995,F,A+,0,
346,9,1247,2,4,KGID100346,Manbir,24-04-1999,F,A+,0,
347,11,702,1,4,KGID100347,Aachal,03-07-1998,F,B+,0,
348,27,673,1,3,KGID100348,Kashvi,21-01-1991,M,A+,0,
349,10,604,1,3,KGID100349,Tanmayi,02-09-1981,M,B+,0,
350,30,317,3,4,KGID100350,Yochana,05-10-1968,M,AB+,0,
351,18,737,5,1,KGID100351,Anmol,09-11-1990,M,A+,0,
352,16,540,2,2,KGID100352,Kevin,14-04-1993,F,A+,0,
353,5,1072,3,2,KGID100353,Wriddhish,29-05-1979,F,A+,0,
354,30,326,2,4,KGID100354,Watika,28-11-1995,F,A+,0,
355,3,391,7,4,KGID100355,Krishna,04-03-1975,M,O-,0,
356,21,866,2,2,KGID100356,Chakradhar,21-10-2000,F,AB+,0,
357,6,279,5,3,KGID100357,Jagvi,31-12-1999,M,O-,0,
358,11,704,2,1,KGID100358,Ronith,19-08-1996,F,A+,0,
359,20,1254,5,1,KGID100359,Dhruv,11-11-1986,F,AB+,0,
360,30,322,6,4,KGID100360,Kritika,22-11-1985,F,O+,0,
361,5,1043,1,3,KGID100361,Lila,21-07-1984,M,O+,0,
362,28,524,6,1,KGID100362,Jagdish,26-02-1990,F,B+,0,
363,30,323,3,3,KGID100363,Warda,18-03-2000,M,AB+,0,
364,4,990,4,2,KGID100364,Falak,21-10-1970,M,A+,0,
365,5,1011,7,4,KGID100365,Pallavi,14-03-1974,M,O+,0,
366,13,484,1,2,KGID100366,Oviya,27-02-1981,M,O+,0,
367,9,1233,3,4,KGID100367,Ayush,04-05-1971,F,O+,0,
368,30,315,7,2,KGID100368,Isaiah,01-10-1996,F,O+,0,
369,5,1160,7,1,KGID100369,Rudra,08-02-1990,F,O+,0,
370,1,405,7,3,KGID100370,Gabriel,20-05-1972,F,AB+,0,
371,5,1039,4,4,KGID100371,Matthew,02-09-1990,F,B+,0,
372,22,786,6,4,KGID100372,Ekapad,23-12-2000,F,O-,0,
373,16,551,7,1,KGID100373,Om,21-01-1991,F,A+,0,
374,18,718,5,2,KGID100374,Prisha,08-11-1982,F,O+,0,
375,3,383,1,3,KGID100375,Udyati,19-05-1989,F,O+,0,
376,18,734,5,4,KGID100376,Kashvi,19-05-1983,M,AB+,0,
377,12,637,4,1,KGID100377,Vasana,28-12-1990,F,O-,0,
