ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
21299,21299,Atharv Chowdhury,42,3,3,6,F
6938,6938,Tanay Mutti,20,1,2,6,M
11834,11834,Naksh Rege,54,6,4,5,F
32678,32678,Anita Luthra,33,1,1,6,F
20324,20324,Eta Parekh,24,6,3,5,M
3876,3876,Yauvani Babu,60,6,3,3,F
6715,6715,Yochana Dara,33,2,4,4,M
34926,34926,Chavvi Doshi,49,5,3,5,M
39549,39549,Warda Swamy,73,5,1,5,F
560,560,Chaaya Srinivas,51,8,4,6,M
13104,13104,Hritik Suri,54,8,4,6,M
20143,20143,Aryan Sura,57,7,2,1,F
33106,33106,Ishwar Mangat,46,4,2,5,M
10002,10002,Abeer Walla,54,4,3,6,M
23222,23222,Saanvi Keer,57,1,1,2,M
35749,35749,Ucchal Tripathi,42,2,1,6,F
7039,7039,Lohit Tak,28,3,3,2,M
21286,21286,Chaman Basu,27,7,2,4,M
9571,9571,Alka Gala,49,2,1,6,F
15943,15943,Ubika Arya,47,6,4,4,M
17463,17463,Yashawini Kota,65,1,4,5,M
10041,10041,Robert Pillai,25,1,2,2,M
37338,37338,Aarush Kade,54,1,4,2,F
7638,7638,Vasudha Wable,30,6,3,3,M
34257,34257,Tripti Mall,62,5,4,2,F
7175,7175,Gaurav Shroff,31,5,1,2,M
6378,6378,Ekta Dua,26,1,4,4,M
4485,4485,Girish Basu,53,4,4,1,M
6234,6234,Chanakya Palla,52,8,2,5,M
25954,25954,Hemal Roy,38,1,3,1,M
35802,35802,Champak Viswanathan,36,2,2,5,M
8750,8750,Nandini Jhaveri,60,6,3,4,M
32272,32272,Balhaar Garg,50,8,1,1,M
36449,36449,Gavin Sheth,45,4,4,5,F
18614,18614,Farhan Dasgupta,26,4,1,6,F
24039,24039,Brijesh Bansal,75,5,4,5,M
10834,10834,Chaman Batra,25,4,3,4,F
22249,22249,Watika Sule,48,3,2,5,M
7321,7321,Lajita Deshmukh,25,6,2,2,M
2667,2667,Kamala Basu,48,4,3,1,M
20743,20743,Agastya Parekh,31,1,1,1,F
24929,24929,Dominic Sibal,31,5,2,4,F
5335,5335,Urvashi Das,46,4,4,1,F
25311,25311,Aryan Brahmbhatt,50,7,2,6,F
28511,28511,Frado Taneja,55,6,1,6,F
5945,5945,Balvan Rana,53,1,3,2,F
6554,6554,Kamala Sarma,31,7,3,1,F
25788,25788,Frederick Sridhar,27,8,4,1,M
11972,11972,Yashoda Karnik,33,8,1,2,F
30658,30658,Mitesh Dhaliwal,52,8,2,6,M
20795,20795,Arya Kashyap,64,6,2,6,M
23887,23887,Jai Sekhon,63,6,1,4,M
19215,19215,Ekalinga Bhandari,53,7,3,5,F
8951,8951,Nachiket Lad,53,6,4,3,M
22161,22161,Triveni Dugal,34,1,4,4,M
7993,7993,Omya Malhotra,70,5,4,2,F
21714,21714,Veda Nagarajan,38,5,2,3,M
22695,22695,Karan Khare,45,8,2,1,M
33983,33983,Vivaan Kade,73,5,4,1,F
33603,33603,Janani Narasimhan,18,7,3,1,M
35334,35334,Zansi Morar,22,8,4,5,M
27458,27458,Michael Nazareth,45,2,4,5,F
33886,33886,Advik Dar,49,3,2,2,M
7902,7902,Caleb Parekh,35,4,1,5,M
27640,27640,Panini Bandi,59,3,3,2,F
38409,38409,Warjas Walia,36,1,2,5,F
3875,3875,Fariq Bali,69,2,1,1,M
16827,16827,Nathan Char,72,4,3,1,M
15230,15230,Prisha Dua,69,2,3,5,M
39126,39126,Upadhriti Bhagat,71,8,2,1,M
29079,29079,Pavani Balakrishnan,36,7,2,3,M
17233,17233,Udant Baria,61,8,3,6,M
19410,19410,Nilima Devan,29,1,1,6,M
18903,18903,Ekaja Murthy,27,4,2,1,F
19909,19909,Shravya Ravi,31,4,1,5,M
15813,15813,Aahana Sathe,68,8,2,6,F
24996,24996,Pranit Shenoy,61,5,1,5,F
20081,20081,Wahab Manda,74,5,2,3,M
3256,3256,Agastya Ganguly,40,3,3,5,F
1588,1588,Tanvi Gaba,74,6,2,4,F
23644,23644,Sarthak Shukla,48,5,3,1,F
30218,30218,Unnati Buch,43,7,1,6,F
5034,5034,Nandini Bains,69,1,3,6,M
32656,32656,Nilima Gokhale,72,2,4,6,M
29420,29420,Rohan Sahota,53,4,3,3,M
18783,18783,Agastya Srivastava,49,7,3,4,M
7416,7416,Gabriel Gokhale,29,3,1,3,F
23297,23297,Anamika Vora,45,8,1,3,M
23491,23491,Wridesh Manda,58,3,3,5,M
30398,30398,Xavier Bains,22,3,4,5,M
7118,7118,Wriddhish Dube,46,4,4,6,M
17756,17756,Geetika Gour,57,4,2,1,M
21945,21945,Qarin Mand,43,5,1,5,F
25441,25441,Yauvani Agate,67,4,4,4,F
23860,23860,Oni Venkatesh,53,4,4,5,F
29745,29745,Daksh Saxena,74,4,2,5,F
32578,32578,Chandresh Mandal,53,4,1,1,M
36414,36414,Dalaja Nayar,25,4,2,2,F
5247,5247,Sai Kale,28,5,4,3,M
19898,19898,Hamsini Bhasin,60,7,2,5,M
27948,27948,Vamakshi Upadhyay,59,3,4,3,M
26320,26320,Zashil Char,30,4,1,5,F
34237,34237,Veer Sunder,19,5,2,5,M
35623,35623,Jeremiah Warrior,72,6,3,1,F
39787,39787,Harita Nadkarni,30,1,3,4,F
2170,2170,Avi Bhardwaj,25,7,4,2,F
35739,35739,Rohan De,34,7,2,3,M
14237,14237,Urvashi Taneja,74,8,2,1,M
3873,3873,Bishakha Nayar,38,8,1,6,F
31165,31165,Meera Saraf,27,2,1,2,M
28322,28322,Isha Vaidya,65,6,2,1,F
35946,35946,Qabil Babu,23,7,2,4,F
38782,38782,Faris Kuruvilla,31,7,2,6,M
8421,8421,Arin Chander,30,3,1,3,F
12010,12010,Om Handa,50,8,1,3,F
26280,26280,Yuvraj Patil,49,6,4,6,F
21196,21196,Qarin Tak,52,8,4,2,F
803,803,Onveer Mander,74,6,3,4,M
7332,7332,Tristan Kannan,33,3,1,1,F
29437,29437,Jack Brar,49,4,1,4,M
6232,6232,Sai Seth,38,1,4,3,F
32518,32518,Chasmum Dhillon,73,4,1,4,M
31679,31679,Vritti Khosla,73,1,4,1,M
7997,7997,Varenya Batra,64,4,2,4,F
20516,20516,Lakshit Saraf,53,7,3,6,F
37260,37260,Quincy Mannan,29,2,4,4,F
38738,38738,Garima Sangha,44,3,3,2,M
31778,31778,Pavani Datta,48,1,1,6,F
3878,3878,Oscar Chander,65,1,1,2,M
7706,7706,Tanvi Bhalla,72,2,3,5,F
24793,24793,Harini Misra,67,6,2,4,F
33309,33309,Yutika Sankar,32,4,3,1,F
35085,35085,Vanya Deol,74,6,4,5,M
8315,8315,Onkar Reddy,31,8,1,3,F
4877,4877,Fitan Chada,57,1,4,4,F
25367,25367,Yochana Ray,61,1,4,1,M
1923,1923,Max More,69,5,3,3,M
14200,14200,Ubika Venkataraman,34,3,3,3,F
38021,38021,Dhriti Guha,35,7,3,1,F
34698,34698,Tanveer Gulati,49,6,4,2,M
30982,30982,Tanay Kaul,29,3,1,5,F
1979,1979,Aayush Lall,69,5,1,3,M
32740,32740,Charan Char,54,7,4,2,F
9064,9064,Samar Bhandari,63,4,1,3,F
24082,24082,Atharv Nazareth,42,7,2,4,F
18785,18785,Elijah Swamy,66,2,3,6,F
11017,11017,Balveer Tiwari,54,7,4,2,M
34722,34722,Jyoti Palan,50,6,3,3,F
14948,14948,Bachittar Bains,50,3,3,5,M
13569,13569,Eesha Goswami,75,3,1,1,M
28639,28639,Pavani Lalla,55,2,4,4,M
23133,23133,Inaya Batra,66,5,1,5,M
8276,8276,Chanakya Gokhale,73,1,4,5,M
31696,31696,Daksha Deshpande,36,6,4,3,F
14410,14410,Jack Bedi,72,4,4,4,F
25352,25352,Pavani Ramesh,41,4,2,6,M
14455,14455,Ishita Mital,32,2,4,4,F
34332,34332,Yashoda Bora,23,1,3,3,F
13281,13281,Netra Khurana,65,6,1,2,F
29077,29077,Azaan Basu,21,6,3,3,F
39273,39273,Sachi Mangat,35,6,1,3,M
23733,23733,Amol Dass,48,3,2,3,F
6453,6453,Samuel Karpe,72,7,4,4,M
14967,14967,Pushti Bajwa,30,3,3,4,M
2394,2394,Advika Muni,32,4,3,6,M
2300,2300,Mohini Joshi,45,6,1,5,M
33514,33514,Ekiya Das,46,7,1,2,F
6800,6800,Charvi Virk,55,2,2,6,F
395,395,Pavani Parmer,33,8,3,4,M
37217,37217,Sudiksha Ravel,71,3,3,3,M
25249,25249,Eshana Wali,38,5,2,3,M
20391,20391,Pooja Narayan,47,3,2,2,F
30308,30308,Vinaya Grewal,57,6,4,3,M
17824,17824,Warhi Kannan,73,3,3,6,F
9580,9580,Kai Dani,28,4,3,2,M
20482,20482,Vedika Tella,22,4,3,3,M
37547,37547,Chavvi Deo,46,5,2,4,M
25501,25501,Sudiksha Char,59,1,2,4,F
20845,20845,Ishaan Parmer,37,7,3,6,M
11552,11552,Jack Andra,52,2,3,3,F
19455,19455,Orinder Agrawal,18,1,2,1,M
23546,23546,Vasana Vyas,25,5,1,2,F
24993,24993,Riya Virk,53,1,3,1,F
7030,7030,Janani Chakraborty,42,8,2,6,M
26594,26594,Faraj Kumar,62,6,3,5,M
19648,19648,Jeremiah Nanda,53,4,1,5,F
10315,10315,Avni Keer,58,4,4,6,M
20791,20791,Fitan Badal,27,1,4,1,F
14465,14465,Oviya Bal,47,3,3,4,M
15358,15358,Upadhriti Baria,75,8,1,5,F
39881,39881,Dominic Mital,49,6,3,6,M
13779,13779,Irya Chaudhry,32,2,3,3,F
35537,35537,Jasmit Gade,29,3,1,5,M
1587,1587,Wridesh Magar,26,6,2,5,F
8156,8156,Qasim Korpal,37,4,3,4,F
27905,27905,Fariq Gulati,55,7,1,4,M
20329,20329,Anthony Handa,22,6,1,6,F
13110,13110,Atharv Subramaniam,20,7,4,2,F
14043,14043,Frederick Sur,59,1,1,6,F
1662,1662,Eta Bhatnagar,27,6,2,3,F
7051,7051,Aadhya Dhawan,49,3,1,2,F
31070,31070,Nathaniel Khanna,74,4,1,3,M
27419,27419,Urmi Lala,21,6,3,4,M
19368,19368,Sathvik Khalsa,38,6,4,3,M
1924,1924,Warinder Upadhyay,58,5,1,5,M
39411,39411,Utkarsh Salvi,61,4,3,3,F
27426,27426,Upasna Basak,60,1,1,1,F
28563,28563,Vritti Mitter,38,4,2,5,F
27043,27043,Jack Bera,49,7,3,3,F
918,918,Mason Bahl,34,6,2,3,M
16169,16169,Aradhana Prabhakar,74,3,1,6,M
11428,11428,David Mistry,42,3,4,3,M
12533,12533,Amaira Kaul,59,1,2,1,M
15132,15132,Suhani Char,27,3,1,1,M
27362,27362,Vivaan Brar,70,6,1,6,M
914,914,Alexander Raju,25,1,1,5,M
8963,8963,Dakshesh Nigam,60,2,1,5,M
31275,31275,Dalbir Dada,20,6,3,3,F
13162,13162,Januja Sha,56,8,4,2,F
3683,3683,Tanmayi Deep,75,1,1,4,M
26566,26566,Matthew Chadha,42,5,3,1,F
39338,39338,Yashodhara Butala,29,3,4,1,F
18289,18289,Upadhriti Bora,44,3,2,4,F
15452,15452,Yauvani Balasubramanian,37,3,3,5,M
17453,17453,Ubika Nair,72,2,1,1,M
15998,15998,Charles Choudhry,44,5,1,4,F
36650,36650,Parth Tandon,58,1,3,5,F
898,898,Xavier Seshadri,35,8,4,3,F
27968,27968,Wakeeta Patel,29,5,4,5,F
32539,32539,Chandani Choudhry,48,7,1,4,M
31548,31548,Reyansh Bhalla,61,6,4,6,F
2795,2795,Aadhya Singhal,21,6,2,6,F
23612,23612,Wyatt Shanker,43,6,1,3,F
26514,26514,Ladli Bhagat,35,1,1,4,M
32213,32213,Shivansh Ganesh,64,4,3,2,F
1269,1269,Wriddhish Sule,64,5,4,3,F
24023,24023,Gaurav Kumer,65,7,4,1,F
29294,29294,Jeremiah Ram,49,6,3,5,F
10968,10968,Champak Patla,57,2,2,6,F
10565,10565,Wahab Singh,29,5,4,3,M
37654,37654,Siddharth Parekh,20,1,3,1,M
34785,34785,Gaurangi Chawla,39,3,3,2,F
35126,35126,Yadavi Chanda,34,2,2,3,F
24001,24001,Ekani Patil,51,6,3,4,F
26717,26717,Ishanvi Varghese,75,8,2,3,F
30517,30517,Ikshita Choudhury,32,4,1,5,F
17313,17313,Qabil Pant,60,5,1,6,F
303,303,Quincy Amble,38,8,3,1,M
17256,17256,Yashica Dhar,34,7,3,1,M
14040,14040,Tanmayi Kalita,41,4,4,5,F
28751,28751,Tanmayi Arora,62,3,3,2,M
31775,31775,Ria Tata,34,7,3,4,M
33352,33352,Simon Bath,59,8,4,2,F
13508,13508,Ridhi Sule,36,5,1,6,F
29545,29545,Ekiya Sha,40,8,3,1,M
13315,13315,Aachal Andra,65,5,4,2,F
31250,31250,Mekhala Sastry,51,6,1,1,M
28390,28390,Max Raja,66,5,2,4,M
34080,34080,Bina Trivedi,56,4,2,6,M
8867,8867,Lavanya Sama,39,8,1,1,M
28494,28494,Quincy Ramesh,29,1,2,6,M
35186,35186,Raagini Sidhu,19,7,2,1,M
3942,3942,Bina Shankar,24,1,4,6,F
8494,8494,Kai Boase,21,3,3,2,M
39785,39785,Pushti Chhabra,43,8,2,3,M
29232,29232,Hemangini Ramesh,35,4,3,6,F
37601,37601,Pahal Virk,66,3,4,2,M
161,161,Bhavna Minhas,31,5,2,3,F
26683,26683,Siddharth Ranganathan,68,1,2,1,M
25982,25982,Divya Dixit,63,1,1,5,F
24254,24254,Zaitra Kulkarni,67,2,3,4,M
26475,26475,Laksh Dash,67,3,1,1,F
25879,25879,Mohammed Mukhopadhyay,18,6,1,4,F
39235,39235,Varsha Sha,30,4,3,3,M
25910,25910,Yahvi Toor,69,7,2,5,M
4876,4876,Anirudh Parsa,54,7,4,5,F
14615,14615,Vanya Wali,53,1,1,2,F
6665,6665,Veda Mandal,30,1,4,4,F
31713,31713,Arunima Gupta,48,8,3,4,M
27444,27444,Urvi Kurian,24,4,4,5,M
804,804,Jagdish Chandra,29,6,2,3,M
11261,11261,Balveer Gandhi,74,6,1,6,M
10889,10889,Pooja Saxena,56,3,3,5,F
26227,26227,Lohit Dasgupta,57,8,3,4,M
39048,39048,Luke Saha,59,8,4,6,F
1270,1270,Chandran Bali,72,8,1,2,F
2743,2743,Mitali Naik,26,1,1,4,F
9809,9809,Azaan Sami,37,7,4,2,M
11750,11750,Harinakshi Manda,47,3,3,6,F
18417,18417,Oni Date,34,6,2,2,M
32508,32508,Fariq Dara,38,3,3,5,M
36010,36010,Bishakha Mittal,34,4,1,6,M
897,897,Om Kata,73,4,4,6,M
28729,28729,Lipika Mitter,60,6,2,3,M
30710,30710,Advik Gandhi,50,1,4,6,F
13833,13833,Sai Nagy,58,2,4,6,F
35624,35624,Qarin Minhas,18,7,4,3,F
29584,29584,Aryan Johal,40,5,4,4,M
37843,37843,Lipika Sibal,57,6,3,5,M
11951,11951,Jack Nagi,64,3,2,3,M
14534,14534,Bimala Magar,53,4,2,3,M
14083,14083,Mitali Randhawa,43,4,1,4,F
8023,8023,Niharika Sandhu,49,4,2,4,M
27130,27130,Jalsa Deshmukh,46,7,2,3,F
16086,16086,Harrison Tailor,71,2,3,6,M
19262,19262,Tanvi Bir,36,3,1,1,F
5540,5540,Fariq Batra,54,7,4,5,M
10705,10705,Isha Grewal,62,3,1,5,F
22612,22612,Noah Lal,29,6,4,6,M
21038,21038,Meghana Kamdar,56,6,3,2,M
22007,22007,Noah Brar,66,1,2,4,M
2666,2666,Yoshita Ray,54,1,3,3,F
20077,20077,Ikshita Yadav,31,1,4,2,M
563,563,Amruta Ghosh,67,6,3,1,M
19193,19193,Turvi Pillai,20,2,4,4,F
27772,27772,Champak Rastogi,56,2,2,2,M
34035,34035,Peter Kar,18,6,3,2,F
19692,19692,Suhani Sachdeva,45,7,2,1,F
24548,24548,Wridesh Saha,60,7,2,4,M
4878,4878,Raagini Ramaswamy,56,3,1,1,M
26910,26910,Unni Contractor,32,5,2,5,M
3868,3868,Ojasvi Uppal,27,6,1,4,M
23299,23299,Shivani Savant,34,1,1,3,F
14094,14094,Frederick Khatri,29,4,3,6,M
10688,10688,Peter Patil,72,5,2,2,F
20811,20811,Aditya Kala,27,4,1,6,M
13545,13545,Girindra Chaudhry,52,1,1,6,M
10680,10680,Pallavi Hayre,31,4,4,3,F
7441,7441,Aarini Sandal,34,2,3,3,M
26646,26646,Yagnesh Kulkarni,56,4,3,2,M
35812,35812,Mason Prakash,23,8,2,5,M
39945,39945,Vivaan Roy,65,6,2,4,M
34441,34441,Mason Datta,46,2,4,1,F
30082,30082,Bahadurjit Kalita,73,8,2,5,F
22717,22717,Gauri Mody,47,4,3,4,M
9271,9271,Dev Gopal,42,6,1,6,F
27711,27711,Vansha Kata,72,8,4,4,M
31062,31062,Samarth Parsa,42,3,4,6,F
26055,26055,Pushti Pandya,43,6,3,6,F
27926,27926,Devansh Nagy,52,4,4,3,M
33684,33684,Chakrika Morar,30,8,3,2,F
6852,6852,Ekiya Dey,59,5,4,4,F
12023,12023,Pratyush Chaudhari,25,7,3,4,M
11020,11020,Libni Tella,67,1,1,1,M
36265,36265,Eesha Sethi,46,4,4,6,F
13223,13223,Ekiya Sarna,33,8,1,2,F
37464,37464,Kala Dani,30,4,2,4,F
12563,12563,Aadhya Bains,18,1,4,4,M
19609,19609,Abha Gola,60,2,2,6,F
37963,37963,Dayita Bora,34,2,2,5,M
25424,25424,Chandani Mutti,29,4,2,6,F
24806,24806,Indrajit Rege,35,2,1,6,F
18175,18175,Christopher Bhargava,67,1,4,4,M
9438,9438,Divya Narasimhan,60,4,4,6,M
25434,25434,Gagan Kohli,53,2,4,4,M
31946,31946,Eshana Pai,46,8,2,6,M
6832,6832,Girish Dutta,27,4,1,3,F
31295,31295,Yash Sridhar,26,6,1,1,F
10652,10652,Warda Narula,25,3,4,6,M
36541,36541,Wyatt Mohan,31,7,2,6,M
14899,14899,Faras Pandey,23,4,1,1,F
32128,32128,Chandran Sampath,25,3,3,5,F
530,530,Keya Chokshi,40,7,3,3,M
9724,9724,Madhav Mannan,60,5,3,6,M
19239,19239,Charita Doctor,22,1,3,2,F
11526,11526,Charan Aurora,22,7,2,2,F
12107,12107,Wazir Mall,55,7,1,6,F
1390,1390,Simon Madan,46,6,1,5,M
13001,13001,Max Shukla,25,5,4,3,F
2668,2668,Meghana Basu,26,1,4,5,F
15695,15695,Omisha Walia,70,7,4,6,M
718,718,Farhan Venkatesh,43,2,2,3,M
13232,13232,Udarsh Kaur,42,8,3,1,F
27830,27830,Aashi Choudhry,50,5,3,2,F
7251,7251,Gaurangi Sunder,52,2,2,5,M
5994,5994,Ati Bobal,28,4,4,1,F
16302,16302,Adya Raman,56,7,2,6,F
16603,16603,Abhiram Mahal,75,1,2,1,M
25035,25035,Qadim Kakar,59,2,4,4,F
33219,33219,Tanay Som,58,3,2,2,M
10013,10013,Brinda Lalla,54,6,1,3,F
25878,25878,Mohammed Borah,38,3,3,4,F
806,806,Chakradev Anand,45,5,4,6,M
1590,1590,Gayathri Bobal,31,6,4,3,F
12746,12746,Harsh Chandran,20,6,4,3,F
29964,29964,Aashi Dua,62,5,4,4,M
34376,34376,Theodore Issac,23,3,2,3,M
17200,17200,Devika Brahmbhatt,38,2,2,3,M
6440,6440,Rajeshri Bajaj,27,8,1,4,F
33785,33785,Januja Dey,35,5,1,5,M
39475,39475,Jacob Kibe,26,1,4,2,F
9740,9740,Qasim Chaudhuri,44,1,3,5,F
13923,13923,Gautam Suresh,53,7,4,5,F
8631,8631,Arin Jani,18,3,1,6,F
13653,13653,Azaan Chatterjee,20,2,1,2,F
19454,19454,Bakhshi Gandhi,46,2,1,6,M
1263,1263,Brijesh Varghese,27,6,3,3,F
12228,12228,Pranav Mann,72,2,3,5,M
2781,2781,Samar Choudhry,19,7,2,2,F
31997,31997,Lavanya Venkataraman,40,4,2,2,M
31221,31221,Wahab Sethi,30,1,4,4,M
23779,23779,Maya Andra,71,3,3,1,M
3487,3487,Advik Tiwari,22,3,4,6,M
8542,8542,Vedant Dutt,35,3,4,3,M
5249,5249,Bhanumati Lad,32,5,1,6,M
8501,8501,Bhavika Koshy,68,4,1,3,F
3680,3680,Kashish Mander,40,4,4,6,M
895,895,Ria Sachdeva,33,5,3,1,F
29777,29777,Omaja Kannan,59,4,4,2,M
24240,24240,Udarsh Vasa,19,4,1,4,F
15252,15252,Kamala Pingle,24,3,4,4,F
21936,21936,Naksh Subramaniam,27,6,2,3,F
27264,27264,Parth Saha,53,6,4,2,F
26012,26012,Qabil Choudhury,19,2,4,5,F
32003,32003,Ria Dhar,21,6,4,6,F
14560,14560,Victor Gade,69,6,1,1,F
30757,30757,Kashvi Kumar,18,5,4,4,F
31319,31319,Robert Banerjee,65,4,3,3,M
551,551,Yasti Chandran,68,1,4,4,M
2169,2169,Matthew Sandhu,54,7,4,2,M
18779,18779,Ekani Som,52,6,1,6,F
7301,7301,Neel Pillai,26,2,4,3,M
14491,14491,Anirudh Lala,19,6,2,5,F
27931,27931,Rudra Dhar,63,1,3,1,M
26801,26801,Manbir Kakar,48,8,3,4,F
19976,19976,Adweta Nath,47,4,2,3,F
18798,18798,Gayathri Anne,63,3,3,2,M
29177,29177,Maanas Jayaraman,26,7,4,6,F
1812,1812,Om Saran,57,1,2,3,M
12511,12511,Charita Shroff,26,6,2,6,F
28849,28849,Suhani Dani,24,8,1,4,M
32346,32346,Charan Kade,18,8,3,4,M
15708,15708,Rajata Shankar,24,1,3,6,M
11122,11122,Gopal Suri,21,1,4,5,M
30313,30313,Jagrati Dixit,70,1,3,5,F
22906,22906,Onkar Raval,44,7,1,6,F
8509,8509,Zilmil Gupta,71,8,2,6,F
37665,37665,Aachal Gade,52,2,4,6,F
12764,12764,Saksham Thaman,64,6,1,2,F
8329,8329,Ekiya Verma,45,6,1,6,M
