VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
70,33355,Eta Sama,19,T,0
71,16714,Arunima Dewan,26,M,0
72,16714,Libni Kala,80,T,0
73,20594,Shivansh Ramesh,33,F,0
74,20594,Chanakya Shenoy,57,M,0
75,34182,Indrajit Basu,31,F,0
76,34182,Udant Rege,8,F,0
77,19778,Ranbir Aggarwal,37,M,0
78,19778,Sanaya Chand,12,T,0
79,19107,Janani Pathak,62,M,0
80,12002,Warjas Chawla,19,M,0
81,12002,Yashodhara Choudhary,74,F,0
82,30534,Lekha Deol,55,F,0
83,30534,Prisha Sastry,74,T,0
84,21649,Indali Ravi,15,M,0
85,21649,Ekbal Ranganathan,14,T,0
86,896,Logan Bansal,40,F,0
87,896,Ranveer Madan,65,T,0
88,34083,Advaith Vala,28,F,0
89,34083,Indrajit Bir,61,F,0
90,32538,Tanmayi Chahal,7,T,0
91,32538,Fariq Mangal,29,M,0
92,17794,Oviya Chanda,5,M,0
93,11488,Wakeeta Virk,69,M,0
94,21301,Vyanjana Chokshi,6,T,0
95,17253,Elijah Aggarwal,26,M,0
96,21732,Vanya Pillai,57,T,0
97,32336,Urvashi Dubey,18,T,0
98,29710,Tanveer Din,60,M,0
99,7844,Anamika Arya,46,T,0
100,7844,Pooja Mutti,35,T,0
101,29078,Charvi Sunder,6,M,0
102,29078,Omkaar Sheth,27,T,0
103,25100,Yatan Sarraf,46,T,0
104,25100,Charan Bath,52,T,0
105,35916,Chaman Rastogi,71,T,0
106,35916,Upma Bansal,48,F,0
107,25341,Amrita Sharma,40,T,0
108,25341,Ayush Lall,24,M,0
109,1265,Ekani Shankar,53,M,0
110,1265,Utkarsh Lalla,50,F,0
111,33756,Bahadurjit Kala,47,M,0
112,33756,Suhani Chand,36,T,0
113,34194,Netra Kala,78,M,0
114,34194,Deepa Suresh,48,M,0
115,39028,Mekhala Sant,36,F,0
116,11530,Yasti Sekhon,67,F,0
117,30327,Mitali Bandi,6,F,0
118,30327,Yoshita Dasgupta,17,T,0
119,36327,Christopher Chowdhury,40,F,0
120,8067,Kamya Chauhan,32,T,0
121,8067,Janya Murty,12,M,0
122,14081,Om Raval,9,T,0
123,37261,Gaurika Rattan,77,M,0
124,23894,Brinda Bhargava,46,T,0
125,23894,Nidhi Nazareth,46,T,0
126,7532,Praneel Dhillon,35,F,0
127,27395,Oni Shan,38,M,0
128,9317,Inaya Panchal,26,M,0
129,9317,Thomas Kamdar,26,M,0
130,38601,Hema Natarajan,19,M,0
131,38601,Alexander Kapadia,23,F,0
132,28828,Leela Sachdev,20,F,0
133,32625,Aditya Wali,8,M,0
134,15438,Yadavi Bakshi,7,T,0
135,25561,Devika Vyas,16,T,0
136,25561,Faras Ramakrishnan,60,M,0
137,18498,Waida Ramachandran,11,T,0
138,3677,Gunbir Nath,73,M,0
139,14203,Dipta Goel,60,F,0
140,35921,Chasmum Gade,39,M,0
141,35921,Yauvani Hayer,12,M,0
142,26325,Hemal Dani,74,M,0
143,26325,Yahvi Munshi,27,M,0
144,18460,Naksh Murthy,15,M,0
145,18460,Urvi Rau,68,M,0
146,29880,Joshua Parikh,42,T,0
147,14806,Chakradev Sarma,63,M,0
148,17776,Pushti Sabharwal,59,F,0
149,17776,Osha Natt,9,F,0
150,21484,Gaurang Tata,59,T,0
151,29786,Kai Pant,57,M,0
152,2943,Qabil Chaudhry,54,M,0
153,16754,Lakshit Karan,45,M,0
154,6475,Gopal Prabhu,47,T,0
155,21536,Veda Walla,18,M,0
156,21536,Devansh Deep,10,M,0
157,36231,Tanvi Arora,34,M,0
158,36231,Bhavini Solanki,78,T,0
159,3670,Fiyaz Goyal,70,M,0
160,25730,Ojasvi Kakar,76,T,0
161,14950,Dalaja Basu,55,M,0
162,14950,Aashi Trivedi,62,F,0
163,35587,Devansh Nair,12,F,0
164,35587,Ethan Reddy,42,T,0
165,8282,Champak Bir,19,M,0
166,37030,Zayyan Dyal,48,M,0
167,37030,Vritti Lall,20,F,0
168,20901,Triya Chaudhuri,34,M,0
169,20901,Gautam Mittal,23,F,0
170,6924,Panini Sani,13,T,0
171,16549,Sachi Sahni,40,T,0
172,18750,Aadi Mohanty,19,T,0
173,18750,Ekanta Choudhry,18,T,0
174,11848,Fariq Shroff,52,M,0
175,11848,Maanas Tiwari,16,M,0
176,32391,Niharika Loyal,70,M,0
177,19259,Triya Khanna,76,F,0
178,19259,Yamini Barad,54,F,0
179,31561,Caleb Deol,8,T,0
180,921,Vyanjana Tank,72,F,0
181,8123,Siya Gulati,50,M,0
182,25706,Ranbir Rau,46,M,0
183,21299,Amrita Nigam,26,M,0
184,21299,Zansi Nadkarni,7,T,0
185,6938,Falguni Konda,66,T,0
186,11834,Shaurya Choudhary,78,M,0
187,11834,Fiyaz Bora,67,F,0
188,32678,Balhaar Cherian,65,T,0
189,20324,Samarth Mani,18,F,0
190,3876,Eesha Balay,38,T,0
191,6715,Zilmil Sha,59,F,0
192,34926,Zashil Bhatt,72,M,0
193,34926,Simon Gandhi,28,F,0
194,39549,Samar Walia,18,F,0
195,560,Peter Verma,43,T,0
196,13104,Om Muni,12,M,0
197,20143,Charan Anand,15,T,0
198,33106,Jagvi Gola,57,M,0
199,33106,Kamya Murty,68,M,0
200,10002,Vihaan Chad,37,M,0
201,10002,Eta Nori,70,T,0
202,23222,Gopal Bora,58,T,0
203,23222,Hritik Chahal,21,F,0
204,35749,Udant Dixit,25,M,0
205,35749,Edhitha Nanda,44,F,0
206,7039,Arunima Mann,56,T,0
207,21286,Bhavini Borde,35,M,0
208,9571,Aarav Sibal,49,T,0
209,15943,Zehaan Kant,40,T,0
210,17463,Tara Khalsa,70,T,0
211,10041,Jagrati Sridhar,38,F,0
212,37338,Avi Mann,66,M,0
213,7638,Nitara Shah,55,F,0
214,7638,Nathaniel Sant,69,T,0
215,34257,Rayaan Lad,7,T,0
216,34257,Aditya Vora,69,T,0
217,7175,Faraj Samra,44,T,0
218,7175,Gayathri Comar,37,T,0
219,6378,Lakshmi Sem,53,T,0
220,6378,Samesh Minhas,39,M,0
221,4485,Brinda Rama,14,M,0
222,6234,Jacob Nadig,64,T,0
223,6234,Oni Raja,8,M,0
224,25954,Jagdish Ganesan,76,F,0
225,35802,Ubika Panchal,19,T,0
226,35802,Avi Sarna,24,M,0
227,8750,Wakeeta Zachariah,19,F,0
228,8750,Patrick Talwar,65,T,0
229,32272,Mahika Arya,38,M,0
230,36449,Nathaniel Toor,43,F,0
231,36449,Bahadurjit Basak,69,T,0
232,18614,Nilima Desai,58,T,0
233,24039,Omkaar Ranganathan,76,F,0
234,24039,Sai Bala,51,T,0
235,10834,Dalbir Dave,59,M,0
236,10834,Vidhi Chandra,34,F,0
237,22249,Tanveer Sampath,76,M,0
238,7321,Zilmil Roy,33,T,0
239,2667,Fariq Wali,72,T,0
240,2667,Noah Kunda,55,T,0
241,20743,Lopa Amble,58,M,0
242,20743,Warda Raman,10,T,0
243,24929,Falan Vora,39,M,0
244,5335,Raghav Banerjee,70,M,0
245,5335,Advika Sathe,49,F,0
246,25311,Adweta Bali,71,T,0
247,28511,Ayushman Bahri,16,M,0
248,5945,Yahvi Khurana,52,M,0
249,6554,Ojas Rajagopalan,15,F,0
250,25788,Frederick Dass,68,M,0
251,11972,Wyatt Swaminathan,9,F,0
252,30658,Falak Kale,69,F,0
253,30658,Farhan Narayanan,75,T,0
254,20795,Aachal Khare,34,M,0
255,20795,Urvi Jhaveri,10,F,0
256,23887,Maya Mukherjee,47,M,0
257,19215,Chandani Chaudhary,79,M,0
258,8951,Maanav Madan,78,T,0
259,22161,Bhavika Sama,19,M,0
260,22161,Yatan Sachdev,32,F,0
261,7993,Charvi Aggarwal,77,M,0
262,7993,Edhitha Yadav,63,T,0
263,21714,Zehaan Parekh,21,F,0
264,21714,Gunbir Kuruvilla,54,F,0
265,22695,Avni Nori,50,F,0
266,22695,Oviya Koshy,5,F,0
267,33983,Vamakshi Kamdar,17,M,0
268,33603,Robert Johal,54,M,0
269,33603,Zilmil Halder,30,F,0
270,35334,Nicholas Ghosh,8,F,0
271,35334,Indrajit Grewal,14,M,0
272,27458,Anay Mistry,34,M,0
273,27458,Adya Rajan,25,M,0
274,33886,Ronith Hari,39,M,0
275,7902,Gautami Pillai,15,M,0
276,27640,Nirja Vig,37,T,0
277,38409,Dev Master,58,M,0
278,3875,Abhimanyu Parekh,24,M,0
279,16827,Jackson Shere,21,M,0
280,16827,Adweta Dewan,46,F,0
281,15230,Farhan Ben,19,T,0
282,15230,Hritik Bahri,19,M,0
283,39126,Kashvi Basak,66,T,0
284,39126,Anthony Mitra,74,M,0
285,29079,Finn Ramakrishnan,46,F,0
286,29079,Ranveer Gole,18,T,0
287,17233,Ridhi Dhingra,24,F,0
288,17233,Chatresh Randhawa,79,T,0
289,19410,Rachita Kurian,26,M,0
290,18903,Idika Uppal,60,F,0
291,19909,Tripti Barman,21,F,0
292,15813,Shivansh Ramesh,19,T,0
293,15813,Chakradev Sama,24,T,0
294,24996,Zinal Ramanathan,25,T,0
295,24996,Nakul Ramanathan,48,F,0
296,20081,Ishita Narang,31,F,0
297,20081,Balvan Lal,63,M,0
298,3256,Ryan Bhagat,67,M,0
299,3256,Brijesh Panchal,49,F,0
300,1588,Niharika Sachar,7,M,0
301,23644,Dhruv Contractor,51,M,0
302,23644,Vasudha Shroff,46,F,0
303,30218,Rohan Patla,11,M,0
304,5034,Raagini Bera,57,F,0
305,32656,Urmi Nayar,19,F,0
306,29420,Yutika Gokhale,11,F,0
307,29420,Abeer Raghavan,20,M,0
308,18783,Yochana Wadhwa,9,F,0
309,18783,Hamsini Saraf,74,M,0
310,7416,Teerth Kale,49,F,0
311,23297,Christopher Issac,22,M,0
312,23297,Ishita Ganesan,52,T,0
313,23491,Kiaan Sarin,31,T,0
314,23491,Lohit Sahni,70,F,0
315,30398,Ekaja Manne,64,T,0
316,30398,Chanchal Batra,52,M,0
317,7118,Nathan Lanka,21,T,0
318,7118,Balendra Srinivasan,78,T,0
319,17756,Ikbal Randhawa,45,F,0
320,17756,Osha Dube,52,F,0
321,21945,Darsh Dhillon,48,F,0
322,25441,Zaitra Srinivas,59,T,0
323,23860,Harini Kunda,11,T,0
324,23860,Wahab Shukla,67,T,0
325,29745,Akshay Sule,67,T,0
326,29745,Mitesh Dhingra,21,M,0
327,32578,Devika Dass,8,T,0
328,32578,Mohammed Dube,78,T,0
329,36414,Falak Bal,69,T,0
330,5247,Vidhi Parmer,47,T,0
331,19898,Falan Deshpande,19,F,0
332,27948,Adweta Gera,68,M,0
333,26320,Advaith Ramaswamy,45,F,0
334,26320,Adya Gade,67,T,0
335,34237,Saksham Bhattacharyya,16,F,0
336,34237,Nihal Ahuja,65,T,0
337,35623,Pushti Bhatti,35,T,0
338,35623,Sanaya Sen,60,F,0
339,39787,Omisha Bhavsar,7,F,0
340,2170,Yuvraj Mallick,14,T,0
341,2170,Neel Dada,10,T,0
342,35739,Dipta Nazareth,30,F,0
343,35739,Jyoti Dugar,38,T,0
344,14237,Veer Dhar,20,F,0
345,3873,Nirja Pall,71,T,0
346,31165,Hritik Shroff,47,F,0
347,28322,Oviya Mani,79,F,0
348,35946,Nandini Saran,11,M,0
349,38782,Leena Dubey,23,T,0
350,8421,Sneha Bhardwaj,58,T,0
351,12010,Ekta Lata,43,T,0
352,26280,Ladli Chokshi,23,T,0
353,21196,Nihal Parekh,48,M,0
354,21196,George Sur,18,M,0
355,803,Watika Mitra,63,T,0
356,803,Ekavir Dhar,9,M,0
357,7332,Gunbir Comar,62,M,0
358,29437,Sudiksha Kaur,44,T,0
359,6232,Yadavi Bahl,44,T,0
360,32518,Jagrati Deep,71,T,0
361,32518,Kevin Saran,66,F,0
362,31679,Yahvi Mohan,50,M,0
363,31679,Manan Bajwa,27,M,0
364,7997,Xavier Bedi,33,M,0
365,20516,Yashawini Handa,46,F,0
366,20516,Ekavir Aurora,51,F,0
367,37260,Unnati Vora,63,T,0
368,37260,Samar Gara,72,M,0
369,38738,Sudiksha Ben,34,M,0
370,38738,Harini Shan,43,M,0
371,31778,Mitesh Dalal,24,M,0
372,31778,Kashish Kapadia,37,M,0
373,3878,Avi Dar,80,M,0
374,3878,Kashish Sarkar,10,M,0
375,7706,Aradhana Devan,71,F,0
376,24793,Zarna Swamy,53,M,0
377,33309,Harsh Sarna,13,F,0
378,35085,Bhanumati Dewan,23,T,0
379,35085,Arunima Patla,69,M,0
380,8315,Ladli Patla,38,F,0
381,4877,Jack Chander,72,M,0
382,25367,Sanaya Palan,23,F,0
383,1923,Tanmayi Vohra,78,T,0
384,1923,Upadhriti Gupta,63,T,0
385,14200,Ekanta Batra,30,M,0
386,14200,Ekansh Barad,54,T,0
387,38021,Isaac Bhavsar,44,M,0
388,38021,Faras Handa,76,F,0
389,34698,Ria Zachariah,13,T,0
390,30982,Urvi Kadakia,65,F,0
391,30982,Christopher Anand,17,F,0
392,1979,Maanav Pradhan,12,M,0
393,32740,Vasatika Char,32,T,0
394,9064,Lakshmi Ramanathan,9,T,0
395,24082,Tara Yadav,54,T,0
396,24082,Tripti Muni,64,F,0
397,18785,Ishanvi Chad,10,F,0
398,11017,Chandani Kalla,75,F,0
399,34722,Ikbal Swaminathan,11,M,0
400,34722,Kevin Mann,42,M,0
401,14948,Gaurangi Sastry,43,F,0
402,13569,Mekhala Bhavsar,71,T,0
403,28639,Harrison Mutti,22,F,0
404,28639,Nidhi Dubey,78,T,0
405,23133,Yashasvi Chaudhuri,74,T,0
406,8276,Azaan Johal,54,F,0
407,8276,Umang Yogi,24,T,0
408,31696,Urvashi Bhardwaj,31,F,0
409,31696,Chandani Sharma,71,M,0
410,14410,Anjali Dixit,41,T,0
411,25352,Laksh Pai,75,T,0
412,14455,Amruta Bajaj,41,T,0
413,14455,Yagnesh Bahl,71,M,0
414,34332,Aachal Arya,22,F,0
415,34332,Matthew Sharma,12,M,0
416,13281,Bakhshi Dalal,22,F,0
417,13281,Arya Kalla,74,T,0
418,29077,Gabriel Roy,9,M,0
419,29077,Lavanya Kibe,47,T,0
420,39273,Madhavi Baral,13,M,0
421,39273,Isaiah Shan,47,M,0
422,23733,Ekapad Warrior,36,F,0
423,6453,Balveer Upadhyay,19,M,0
424,14967,Pratyush Walla,41,M,0
425,14967,Rohan Aurora,22,T,0
426,2394,Chandran Ramakrishnan,63,T,0
427,2394,Zilmil Patel,38,M,0
428,2300,Forum Kara,51,T,0
429,2300,Amol Kant,77,M,0
430,33514,Balhaar Rattan,14,T,0
431,6800,Ekta Setty,39,T,0
432,395,Samaksh Choudhury,8,T,0
433,37217,Jacob Chopra,52,M,0
434,25249,Victor Karan,33,M,0
435,20391,Manan Ravel,34,M,0
436,20391,Eshana Rege,20,F,0
437,30308,Veer Bala,39,F,0
438,17824,Aditya Sur,23,M,0
439,9580,Praneel Dara,40,T,0
440,20482,Lekha Majumdar,80,M,0
441,37547,Bhanumati Saini,74,T,0
442,25501,Abhimanyu Soni,62,T,0
443,20845,Lipika Sarna,36,M,0
444,20845,Faris Gupta,60,M,0
445,11552,Gunbir Dhillon,65,F,0
446,11552,Dayamai Tailor,75,M,0
447,19455,Hemal Chandra,79,T,0
448,19455,Dayita Chaudry,11,T,0
449,23546,Daksh Lata,14,T,0
450,24993,Anita Bala,18,M,0
451,24993,Ekta Bir,47,F,0
452,7030,Zayan Mahal,30,T,0
453,26594,Laban Hayer,54,F,0
454,26594,Aashi Mukherjee,65,F,0
455,19648,Teerth Peri,12,M,0
456,19648,Kevin Lata,28,T,0
457,10315,Urvashi Prashad,63,M,0
458,20791,Arya Murthy,76,M,0
459,14465,Gopal Mahal,46,M,0
460,14465,Siya Sibal,37,F,0
461,15358,Ekalinga Bhagat,21,M,0
462,15358,Chameli Tiwari,50,M,0
463,39881,Kritika Pandey,75,F,0
464,39881,Gagan Chhabra,39,F,0
465,13779,Vanya Barad,73,T,0
466,13779,Farhan Mane,29,F,0
467,35537,Deepa Chander,50,T,0
468,1587,Ishita Raghavan,55,F,0
469,8156,Libni Krish,21,F,0
470,8156,Samesh Nori,77,T,0
471,27905,Sarthak Mukhopadhyay,46,T,0
472,27905,Yashasvi Kothari,26,F,0
473,20329,Vritti Patil,22,T,0
474,20329,Tanish Gole,41,F,0
475,13110,Pratyush Nadkarni,16,M,0
476,13110,Tanmayi Swamy,42,F,0
477,14043,Chameli Warrior,7,T,0
478,1662,Aarna Saini,41,F,0
479,1662,Lipika Hans,60,M,0
480,7051,Aarush Uppal,77,T,0
481,7051,Viraj Dar,11,T,0
482,31070,Waida Mukhopadhyay,11,F,0
483,31070,Tara Goda,17,T,0
484,27419,Lavanya Sarin,10,T,0
485,27419,Charles Subramaniam,20,F,0
486,19368,Siddharth D’Alia,79,M,0
487,1924,Jasmit Mitra,60,M,0
488,39411,Yagnesh Rajagopalan,40,F,0
489,27426,Riya Madan,27,T,0
490,27426,Noah Sheth,78,F,0
491,28563,Aarnav Sehgal,74,T,0
492,28563,Warda Gara,18,F,0
493,27043,Henry Vora,65,T,0
494,27043,Warhi Sanghvi,37,M,0
495,918,Dayamai Manda,18,F,0
496,16169,Darsh Mallick,23,F,0
497,11428,Ikshita Ramakrishnan,16,M,0
498,11428,Neel Gaba,30,M,0
499,12533,Chasmum Prasad,35,T,0
500,15132,Gunbir Sathe,63,M,0
501,27362,Ekavir Dalal,30,T,0
502,27362,Netra Keer,73,M,0
503,914,Fariq Vasa,74,T,0
504,914,Samaksh Khanna,9,M,0
505,8963,Lakshit Bumb,39,T,0
506,8963,Chavvi Sawhney,49,M,0
507,31275,Watika Apte,42,M,0
508,13162,Praneel Tella,47,M,0
509,13162,Avni Walla,79,T,0
510,3683,Nidra Palla,66,M,0
511,3683,Eesha Chauhan,62,F,0
512,26566,Balveer Dube,69,M,0
513,39338,Eiravati Nayar,30,M,0
514,18289,Gayathri Edwin,72,M,0
515,15452,Saumya Shetty,50,M,0
516,15452,Omya Sathe,24,T,0
517,17453,Varenya Raju,6,T,0
518,17453,Gaurang Khosla,80,T,0
519,15998,Aarna Mane,62,T,0
520,36650,Bakhshi Toor,30,T,0
521,36650,Arjun Raval,34,T,0
522,898,Zansi Talwar,17,T,0
523,898,Zayan Ganguly,46,F,0
524,27968,Mason Sachar,77,T,0
525,27968,Fariq Jha,53,M,0
526,32539,Widisha Doctor,23,F,0
527,32539,Oliver Kapadia,64,M,0
528,31548,Qasim Sule,6,M,0
529,31548,Isaac Kala,59,F,0
530,2795,Wridesh Kurian,74,F,0
531,2795,Chaman Ravel,78,M,0
532,23612,Pranav Rai,46,F,0
533,26514,Mohammed Guha,24,T,0
534,26514,Saumya Nanda,8,T,0
535,32213,Gauri Ganguly,73,F,0
536,1269,Rohan Natarajan,22,F,0
537,1269,Jhalak Kamdar,44,T,0
538,24023,Mason Mander,25,F,0
539,24023,Zarna Chaudry,56,T,0
540,29294,Inaya Som,14,T,0
541,29294,Tanay Hans,44,F,0
542,10968,Gavin Bumb,55,T,0
543,10968,Qasim Hora,42,M,0
544,10565,Kiaan Borra,63,F,0
545,10565,Nachiket Mani,70,T,0
546,37654,Eiravati Naik,47,M,0
547,34785,Zashil Mitra,66,T,0
548,34785,Nirja Ganguly,31,F,0
549,35126,Chandresh Hayer,26,T,0
550,35126,Dhriti Magar,48,F,0
551,24001,Zarna Gopal,78,F,0
552,26717,Ikbal Gokhale,54,T,0
553,26717,Edhitha Vohra,24,M,0
554,30517,Forum Soman,50,M,0
555,17313,Siddharth Balasubramanian,10,F,0
556,17313,Ayaan Khosla,7,T,0
557,303,Bakhshi Master,80,F,0
558,17256,Lavanya Jayaraman,58,M,0
559,14040,Bahadurjit Soman,15,M,0
560,28751,Yashodhara Kapur,50,F,0
561,31775,Manthan Dey,13,M,0
562,33352,Leena Kala,32,M,0
563,13508,Max Morar,62,T,0
564,29545,Praneel Vig,71,F,0
565,13315,Nachiket Jayaraman,47,M,0
566,31250,Bhavya Narasimhan,5,M,0
567,31250,Harsh Walia,75,T,0
568,28390,Samar Ahuja,13,F,0
569,28390,Abeer Vig,78,M,0
570,34080,Vasudha Patla,36,F,0
571,34080,Diya Vaidya,39,F,0
572,8867,Yug Padmanabhan,55,M,0
573,8867,Ekani Chandran,70,M,0
574,28494,Ridhi Majumdar,46,T,0
575,28494,Lekha Kari,54,T,0
576,35186,Balvan Salvi,53,F,0
577,35186,Harini Sachdeva,56,M,0
578,3942,Radhika Keer,72,T,0
579,3942,Kevin Bali,49,M,0
580,8494,Gaurav Halder,20,T,0
581,39785,Samaksh Chander,33,T,0
582,39785,Harshil Kulkarni,11,T,0
583,29232,Aadhya Din,34,M,0
584,37601,Rajata Khurana,66,F,0
585,161,Om Om,24,M,0
586,161,Maanas Kuruvilla,49,F,0
587,26683,Nicholas Sandhu,10,F,0
588,26683,Kiaan Arora,14,T,0
589,25982,Charvi Dave,9,M,0
590,24254,Samesh Halder,62,F,0
591,26475,Mitesh Merchant,60,F,0
592,26475,Qarin Bose,9,T,0
593,25879,Lopa Mital,47,F,0
594,25879,Ekanta Upadhyay,78,T,0
595,39235,Bakhshi Prabhakar,53,F,0
596,25910,Yug Shroff,78,F,0
597,4876,Urvi Thaman,79,T,0
598,14615,Damini Choudhury,37,M,0
599,6665,Arjun Bhavsar,29,F,0
600,31713,Ekiya Patel,55,T,0
601,31713,Aarav Dugar,38,F,0
602,27444,Rachit Kale,25,M,0
603,804,Bhavika Chatterjee,58,T,0
604,11261,Janaki Virk,63,F,0
605,10889,Nimrat Upadhyay,22,T,0
606,10889,Abha Cheema,28,T,0
607,26227,Widisha Dutta,56,M,0
608,39048,Rohan Shanker,66,F,0
609,39048,Eesha Vora,54,T,0
610,1270,Forum Sridhar,16,F,0
611,1270,Gayathri Kota,73,F,0
612,2743,Liam Koshy,76,M,0
613,2743,Logan Kata,28,M,0
614,9809,Rachit Oza,13,F,0
615,9809,Mahika Hora,41,T,0
616,11750,Isaac Mitter,33,F,0
617,11750,Kabir Patla,7,F,0
618,18417,Patrick Chad,33,T,0
619,32508,Ekbal Edwin,80,T,0
620,36010,Shaurya Raval,33,M,0
621,36010,Neha Borde,13,T,0
622,897,Zashil Pant,80,F,0
623,897,Aayush Soni,68,M,0
624,28729,Kashish Bora,50,T,0
625,30710,Sarthak Sengupta,48,M,0
626,13833,Ekta Tata,7,F,0
627,13833,Samarth Raju,12,T,0
628,35624,Warhi Tandon,20,F,0
629,29584,Pallavi Luthra,59,M,0
630,29584,Victor Sinha,61,T,0
631,37843,Mahika Palan,68,F,0
632,37843,Lohit Shanker,74,T,0
633,11951,Girik Patla,31,F,0
634,11951,Wazir Prabhakar,40,T,0
635,14534,Yauvani Wali,31,T,0
636,14083,Oviya Sankar,48,T,0
637,14083,Amol Agate,76,T,0
638,8023,Ekansh Dewan,28,M,0
639,8023,Tejas Raval,30,F,0
640,27130,Rishi Barad,67,T,0
641,16086,Wyatt Kade,43,M,0
642,16086,Gautami Mand,54,T,0
643,19262,Rehaan Srivastava,44,T,0
644,19262,Ekaja Ram,56,M,0
645,5540,Tanvi Chowdhury,16,T,0
646,10705,Meghana Sengupta,64,T,0
647,22612,Chandran Manda,39,T,0
648,21038,Hritik Krishnamurthy,44,F,0
649,22007,Dayita Chokshi,58,T,0
650,22007,Laban Keer,47,M,0
651,2666,Idika Natarajan,41,T,0
652,20077,Yadavi Bobal,7,T,0
653,20077,Harish Borde,48,F,0
654,563,Keya Dixit,79,T,0
655,563,Yahvi Mittal,20,M,0
656,19193,Timothy Mani,20,M,0
657,19193,Jairaj Swaminathan,53,F,0
658,27772,Yatan Maharaj,36,M,0
659,34035,Jhalak Dyal,42,M,0
660,19692,Ronith Sharaf,30,F,0
661,24548,Abhimanyu Devan,8,M,0
662,24548,Naveen Chhabra,60,T,0
663,4878,Tanvi Vohra,5,F,0
664,4878,Abha Tailor,47,F,0
665,26910,Chanchal Oommen,40,M,0
666,3868,Vasana Dua,71,T,0
667,3868,Jatin Bath,25,T,0
668,23299,Jeremiah Sanghvi,71,T,0
669,14094,Luke Pathak,55,T,0
670,10688,Darpan Batta,54,F,0
671,10688,Megha Pal,52,F,0
672,20811,Omisha Prakash,66,T,0
673,13545,Watika Sahni,6,T,0
674,13545,Ekani Bhatt,35,T,0
675,10680,Abeer Chowdhury,58,T,0
676,7441,Jhalak Rau,13,F,0
677,7441,Osha Sachdev,53,T,0
678,26646,Janaki Shenoy,20,M,0
679,35812,Jonathan Chatterjee,72,F,0
680,35812,Chaman Dugal,42,T,0
681,39945,Ekaraj Gole,50,T,0
682,39945,Isha Thaker,51,M,0
683,34441,Laban Buch,40,M,0
684,34441,Zansi Gera,57,F,0
685,30082,Fiyaz Shah,26,M,0
686,22717,Gaurangi Gaba,14,F,0
687,22717,Chatresh Boase,76,T,0
688,9271,Harish Loke,74,M,0
689,27711,Panini Parekh,76,T,0
690,31062,Pahal Bajwa,45,T,0
